loan_product,interest_rate,apr,loan_term_years,lender_name,updated_date,forecasted_rate,data_collection_agent,date
30-Year Fixed Rate,6.79,6.85,30,Bankrate,2025-07-29,6.94,AutomatedScraper,2025-07-29
20-Year Fixed Rate,6.53,6.64,20,Bankrate,2025-07-29,6.68,AutomatedScraper,2025-07-29
15-Year Fixed Rate,5.99,6.08,15,Bankrate,2025-07-29,6.14,AutomatedScraper,2025-07-29
10-Year Fixed Rate,5.92,6.0,10,Bankrate,2025-07-29,6.07,AutomatedScraper,2025-07-29
30-Year Fixed Rate FHA,6.75,6.81,30,Bankrate,2025-07-29,6.9,AutomatedScraper,2025-07-29
30-Year Fixed Rate VA,6.92,6.97,30,Bankrate,2025-07-29,7.07,AutomatedScraper,2025-07-29
30-Year Fixed Rate Jumbo,6.85,6.9,30,Bankrate,2025-07-29,7.0,AutomatedScraper,2025-07-29
30-Year Fixed Rate,6.79,6.85,30,Bankrate,2025-07-30,6.94,AutomatedScraper,2025-07-30
20-Year Fixed Rate,6.53,6.64,20,Bankrate,2025-07-30,6.68,AutomatedScraper,2025-07-30
15-Year Fixed Rate,5.99,6.08,15,Bankrate,2025-07-30,6.14,AutomatedScraper,2025-07-30
10-Year Fixed Rate,5.92,6.0,10,Bankrate,2025-07-30,6.07,AutomatedScraper,2025-07-30
30-Year Fixed Rate FHA,6.75,6.81,30,Bankrate,2025-07-30,6.9,AutomatedScraper,2025-07-30
30-Year Fixed Rate VA,6.92,6.97,30,Bankrate,2025-07-30,7.07,AutomatedScraper,2025-07-30
30-Year Fixed Rate Jumbo,6.85,6.9,30,Bankrate,2025-07-30,7.0,AutomatedScraper,2025-07-30
30-Year Fixed Rate,6.76,6.82,30,Bankrate,2025-07-31,6.91,AutomatedScraper,2025-07-31
20-Year Fixed Rate,6.49,6.61,20,Bankrate,2025-07-31,6.64,AutomatedScraper,2025-07-31
15-Year Fixed Rate,5.99,6.08,15,Bankrate,2025-07-31,6.14,AutomatedScraper,2025-07-31
10-Year Fixed Rate,5.91,6.0,10,Bankrate,2025-07-31,6.06,AutomatedScraper,2025-07-31
30-Year Fixed Rate FHA,6.89,6.96,30,Bankrate,2025-07-31,7.04,AutomatedScraper,2025-07-31
30-Year Fixed Rate VA,7.14,7.19,30,Bankrate,2025-07-31,7.29,AutomatedScraper,2025-07-31
30-Year Fixed Rate Jumbo,6.75,6.8,30,Bankrate,2025-07-31,6.9,AutomatedScraper,2025-07-31
30-Year Fixed Rate,6.76,6.82,30,Bankrate,2025-08-01,6.91,AutomatedScraper,2025-08-01
20-Year Fixed Rate,6.44,6.55,20,Bankrate,2025-08-01,6.59,AutomatedScraper,2025-08-01
15-Year Fixed Rate,6.03,6.12,15,Bankrate,2025-08-01,6.18,AutomatedScraper,2025-08-01
10-Year Fixed Rate,6.13,6.23,10,Bankrate,2025-08-01,6.28,AutomatedScraper,2025-08-01
30-Year Fixed Rate FHA,6.91,6.97,30,Bankrate,2025-08-01,7.06,AutomatedScraper,2025-08-01
30-Year Fixed Rate VA,6.94,7.0,30,Bankrate,2025-08-01,7.09,AutomatedScraper,2025-08-01
30-Year Fixed Rate Jumbo,6.75,6.8,30,Bankrate,2025-08-01,6.9,AutomatedScraper,2025-08-01
30-Year Fixed Rate,6.72,6.78,30,Bankrate,2025-08-02,6.87,AutomatedScraper,2025-08-02
20-Year Fixed Rate,6.47,6.56,20,Bankrate,2025-08-02,6.62,AutomatedScraper,2025-08-02
15-Year Fixed Rate,5.97,6.07,15,Bankrate,2025-08-02,6.12,AutomatedScraper,2025-08-02
10-Year Fixed Rate,6.16,6.27,10,Bankrate,2025-08-02,6.31,AutomatedScraper,2025-08-02
30-Year Fixed Rate FHA,6.4,6.47,30,Bankrate,2025-08-02,6.55,AutomatedScraper,2025-08-02
30-Year Fixed Rate VA,6.41,6.47,30,Bankrate,2025-08-02,6.56,AutomatedScraper,2025-08-02
30-Year Fixed Rate Jumbo,6.75,6.81,30,Bankrate,2025-08-02,6.9,AutomatedScraper,2025-08-02
30-Year Fixed Rate,6.74,6.81,30,Bankrate,2025-08-03,6.89,AutomatedScraper,2025-08-03
20-Year Fixed Rate,6.51,6.6,20,Bankrate,2025-08-03,6.66,AutomatedScraper,2025-08-03
15-Year Fixed Rate,5.99,6.09,15,Bankrate,2025-08-03,6.14,AutomatedScraper,2025-08-03
10-Year Fixed Rate,6.14,6.25,10,Bankrate,2025-08-03,6.29,AutomatedScraper,2025-08-03
30-Year Fixed Rate FHA,6.7,6.75,30,Bankrate,2025-08-03,6.85,AutomatedScraper,2025-08-03
30-Year Fixed Rate VA,6.73,6.78,30,Bankrate,2025-08-03,6.88,AutomatedScraper,2025-08-03
30-Year Fixed Rate Jumbo,6.74,6.79,30,Bankrate,2025-08-03,6.89,AutomatedScraper,2025-08-03
30-Year Fixed Rate,6.74,6.81,30,Bankrate,2025-08-04,6.89,AutomatedScraper,2025-08-04
20-Year Fixed Rate,6.51,6.6,20,Bankrate,2025-08-04,6.66,AutomatedScraper,2025-08-04
15-Year Fixed Rate,5.99,6.09,15,Bankrate,2025-08-04,6.14,AutomatedScraper,2025-08-04
10-Year Fixed Rate,6.14,6.25,10,Bankrate,2025-08-04,6.29,AutomatedScraper,2025-08-04
30-Year Fixed Rate FHA,6.7,6.75,30,Bankrate,2025-08-04,6.85,AutomatedScraper,2025-08-04
30-Year Fixed Rate VA,6.73,6.78,30,Bankrate,2025-08-04,6.88,AutomatedScraper,2025-08-04
30-Year Fixed Rate Jumbo,6.74,6.79,30,Bankrate,2025-08-04,6.89,AutomatedScraper,2025-08-04
30-Year Fixed Rate,6.74,6.81,30,Bankrate,2025-08-05,6.89,AutomatedScraper,2025-08-05
20-Year Fixed Rate,6.51,6.6,20,Bankrate,2025-08-05,6.66,AutomatedScraper,2025-08-05
15-Year Fixed Rate,5.99,6.09,15,Bankrate,2025-08-05,6.14,AutomatedScraper,2025-08-05
10-Year Fixed Rate,6.14,6.25,10,Bankrate,2025-08-05,6.29,AutomatedScraper,2025-08-05
30-Year Fixed Rate FHA,6.7,6.75,30,Bankrate,2025-08-05,6.85,AutomatedScraper,2025-08-05
30-Year Fixed Rate VA,6.73,6.78,30,Bankrate,2025-08-05,6.88,AutomatedScraper,2025-08-05
